12,"Томаты сливовидные красные ФЛАМЕНКО на ветке, весовые",219.99 руб.,за 1 кг,https://lenta.com/product/tomaty-prochie-tovary-slivovidnye-krasnye-na-vetke-ves-rossiya-638063/,Без cкидки
13,"Перец красный, 2шт",179.99 руб.,за 1 шт.,https://lenta.com/product/perec-ds-krasnyjj-2sht-525343/,Без cкидки
14,"Клубника свежая, 200г",129.99 руб.,за 1 шт.,https://lenta.com/product/klubnika-prochie-tovary-svezhaya-200g-637316/,Со cкидкой
15,"Томаты черри на ветке Премиум, 200г",179.99 руб.,за 1 шт.,https://lenta.com/product/tomaty-cherri-premium-na-vetke-200g-tomaty-cherri-premium-na-vetke-200g-rossiya-200g-596623/,Без cкидки
16,"Огурцы короткоплодные колючие, весовые",169.99 руб.,за 1 кг,https://lenta.com/product/ogurcy-korotkoplodnye-kolyuchie-ves-1kg-168210/,Без cкидки
17,"Томаты коктейльные, 350г",139.99 руб.,за 1 шт.,https://lenta.com/product/tomaty-prochie-tovary-koktejjlnye-rossiya-350g-641645/,Со cкидкой
18,"Редис, 500г",99.99 руб.,за 1 шт.,https://lenta.com/product/redis-500g-172378/,Без cкидки
19,"Картофель для жарки, 3кг",189.99 руб.,за 1 шт.,https://lenta.com/product/kartofel-dlya-zharki-3kg-170720/,Без cкидки
20,"Голубика свежая, 200г",199.99 руб.,за 1 шт.,https://lenta.com/product/golubika-prochie-tovary-svezhaya-200g-637413/,Со cкидкой
21,"Укроп ЛЕНТА свежий, 100г",59.99 руб.,за 1 шт.,https://lenta.com/product/ukrop-lenta-svezhijj-rossiya-100g-582227/,Без cкидки
22,"Киви спелое, 3шт",79.99 руб.,за 1 шт.,https://lenta.com/product/kivi-speloe-up-chili-3sht-531193/,Со cкидкой
23,"Томаты Кумато, весовые",259.99 руб.,за 1 кг,https://lenta.com/product/tomaty-kumato-ves-1kg-257784/,Со cкидкой
,title,price,weight,link_category,sale
0,"Свекла Эконом, весовая",21.39 руб.,за 1 кг,https://lenta.com/product/svekla-ekonom-ves-1kg-300884/,Со cкидкой
1,"Укроп ЛЕНТА свежий, 50г",39.99 руб.,за 1 шт.,https://lenta.com/product/ukrop-lenta-svezhijj-rossiya-50g-582271/,Без cкидки
